doc,tag,annotation
1903 - The relation of science to common life.xml,naturalist vs. objectivity,It is for us to strug- gle toward securing that honored recogni- tion for every branch of knowledge whieh Carlyle dimly presaged. It has often been urged that the intru- sion of so-ealled technieal seienee into our universities will break up all cherished university ideals and dissipate the poetic side of life.
1903 - The relation of science to common life.xml,big scientist,"the student can still exelaim with Kepler, in all humility and dignity: 'O God, I think thy thoughts after Thee.'"
1903 - The relation of science to common life.xml,'naturalist tendencies',"And as to real poetry and romance, sci- enee is just beginning to unfold such. You will forgive me, as a botanist, while I tell you of the wonder and pleasure our stu- dents expressed about a month ago, when earried past Jersey fields of scarlet clover in full bloom. This plant had converted former sandy wastes into a floral paradise. But more, our workers had learned the reason for its presence in such quantity, and could picture to themselves the orig- inally scant, but now rapidly multiplying, myriads of 'nitromonas' baeteria that were absorbing and fixing loose atmospherie nitrogenous compounds. They knew that these handed on much of this to the Rhz- zobtum organism of the soil or of the elo- ver tubercles, and that finally the fixed assimilated nitrates were utilized by the clover for its sustenanee. Truly a romance verified."
1903 - The relation of science to common life.xml,aesthetics or romances of Science?,Truly a romance verified.
1903 - The relation of science to common life.xml,statistics,"To apply the statlsties now to hand, 4,000 aeres of New Jersey land within ten miles of Philadelphia could -then be made to produee the fr.uits and roots"
1903 - The relation of science to common life.xml,together by science product not collaboration,"In the accomplishment of such truly ro- mantic results the schoolman and the lay- man, the university teacher and the shop worker, have equally had to do."
1903 - The relation of science to common life.xml,liberal education,"Already it is reGognized that to prepare, cut, stain and microscopically examine a paraffin sec- tion, or to separate out the constituents of a ehemieal mixture, are both liberal eduea- tions in whiGh the skilled hand, eye, nose and ear all cooperate with their comples and correlated central manifestation that we call mind."
1903 - The relation of science to common life.xml,allegory of liberal education,"Measured by such methods knowledge is not the mental quantity and quality supplied by this or that university, but is the earnest effort of man to en- lighten and guide hilnself and his fellow man."
1903 - The relation of science to common life.xml,application vs. allegory?,"As brethren of the Sigma :Si then it becomes us to agitate constantly for the restoration' of the grand ideals set by Paris and Bologna universities of the tenth to the fourteenth century. There learning was imparted to all who loved it, there nationality, or name, or condition formed no bar to the owner whose gown at times served to cover his rags, and there the seholars of their day-courted by emperor and entertained by the nobles were the teachers of these famous old centers."
1903 - The relation of science to common life.xml,public vs. professional?,"A reeent magazine number ehron- ieled the people's vote of three large eities, in favor of muniGipal ownership of dis- tributive ageneies, and somewhat pungently added: 'While the aeademiGians are diStU sing the theory of maniGipal ownership the people, in these eities at least, are getting into the habit of voting for it.' PeriodiG intelleetual molting Gonduees often to sound mental life."
1903 - The relation of science to common life.xml,Academy = shed prejudice?,so school ourselves as to be ready to slough off during each un£olding year with its new possibilities for prog- ress the skin of prejudice or preference that may have hardened round us in the preceding period.
1903 - The relation of science to common life.xml,religious asceticism,"Like that of Paul, our life should be a conseerated unrest. NVe have not yet attained, neither are we already per- fect."
1903 - The relation of science to common life.xml,science museum,South Kensington Museum
1903 - The relation of science to common life.xml,museums = scientific progress + democracy,"There the schoolboy lingers i;nquiringly before-them, and he thus forms great conceptions of man's inventive rela- tion to the world forees around him. The factory worker learns how his machines have grown, have been evolved, and how he may possibly per.fect them further. For the college and university teacher these collections furnish comparative and con- crete illustrations by which a lasting piG- ture is fixed in the mind."
1903 - The relation of science to common life.xml,price of science culture,"The ques- tion of cost should be a minor considera- tion in planning suGh undertakings, amld the corporate and individual wealth that characterizes tsuch centers as our own. Civic pride and loyalty, national pride and loyalty, pride in and loyalty to our highest human development should be suffieient impelling foree."
1903 - The relation of science to common life.xml,public vs. professional,"individual expenditures, for individual gratifieation alone, it should arouse in every one of us the desire to so mold public opinion that such superfluous ostentations shall cease."
1903 - The relation of science to common life.xml,ancient Greeks and Romans,"that a later time came when Rome's matrons had few if any robust sons to fight, when ' the patricians had largely squandered their patrimony in sensual in- dulgenee, when-with deeayed institutions - none were 'so poor as to do her. rever- ence. '"
1903 - The relation of science to common life.xml,reference,"' The Biology of Laziness,'"
1903 - The relation of science to common life.xml,conception of conferences,"To finish these in a night would afford a meal worthy of men- tal digestion for a month. Such meetings would also promote that esprt de corps, that common effort, that contagious en- thusiasm, that self-sacrifieing spirit, which when combined ensure an institution 's progress."
1903 - The relation of science to common life.xml,conception of conferences,"quicken each speaker to excellence in literary style and oratorical effort. Too litthe attention is often give to form, and too much to sub- stance' in scientifie presentations."
1903 - The relation of science to common life.xml,English philosopher,"Stuart Mill, who says: "" The inereasing specializa- tion of all employments; the division of mankind into innumerable small fractions, each engrossed by an extremely minute fragment of the business of society' is not without inconveniences' as well moral as intellectual, which if they could not be remedied, would be a serious abatement from the benefits of advanced eivilization. The interests of the whole the bearings of things on the ends of the soeial union-are less and less present to the minds of men who have so contracted a sphere of ae- tivity. * * @"
1903 - The relation of science to common life.xml,the ivory tower,"A man's mind is as fatally narrowed, and his feelings towards the great ends of humanity as miserably stunted, by giving all his thoughts to the classifieation of a few inseets' or the reso- lution of a few equations, as to sharpen- ing the points or putting on the heads of pins."
1903 - The relation of science to common life.xml,the ivory tower,"seldom either know or eare for any of the interests of man- kind beyond the narrow limits of their pur- StlitS, is dwelt on by M. Comte as one of the great and growing evils of the time, and the one which most retards moral and intellectual regeneration. *"
1903 - The relation of science to common life.xml,fem writer,Besant
1903 - The relation of science to common life.xml,objectivity,"The attempt has been made in some seientifie eireles to divoree the dis- Goverer from the fruits of his labors, under the speeious plea that it is unprofessional to be assoeiated with these in trade rela- tions."
1903 - The relation of science to common life.xml,objectivity,"seienee stands for aeeuraey, probity, elear statement of faet, unveiling of error. of every kind whether intentional or unintentional"
1903 - The relation of science to common life.xml,writer,Mc- Craeken
